GISP2 Ions: Deep (D) Core

REFERENCE: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This is the ion data set produced by the Glacier Research Group for the
GISP2 D core, from 2 - 3040 m depth. Meters 2 to 96 is B core data.  The
remainder of the data is from the D core.  Concentration values for each
sample are listed along with the top and bottom depth for each sample. 
Depths are in meters, concentrations in micrograms/kilogram (ppb).  Refer
to the file detiond.dat for more details on the upper 96 meter processing. 
D core samples were mechanically cleaned between 96-710m and 1370-1510m. 
All other samples were melted using a teflon coated aluminium apparatus
which melted the center portion from a 3.5 x 3.5 cm section of ice. 

DATA:

DEPTH	(m)	IONS								AGE (yr BP)	
Top	Bottom	Na_ppb	NH4_ppb	K_ppb	Mg_ppb	Ca_ppb	Cl_ppb	NO3_ppb	SO4_ppb	Top	Bottom

1658.18	1658.31	4.95	17.3	1.32	3.02	12.7	17.81	98.99	90.98	11303.7	11305.7
1658.31	1658.44	11.2	18.2	1.52	2.55	10.2	24.37	78.4	74.06	11305.7	11307.6
1658.44	1658.57	6.35	13.2	1.3	3.51	15.1	19.08	122.14	106.65	11307.6	11309.6
1658.57	1658.7	5.87	6.38	1.1	3.19	11.9	14.58	89.97	94.04	11309.6	11311.5
1658.7	1658.83	8.83	11.1	1.34	3.62	14.5	22.11	101.51	115.86	11311.5	11313.5
1658.83	1658.95	10.1	9.33	1.97	2.87	11.3	26.36	120.96	84.46	11313.5	11315.3
1658.95	1659.08	15.4	11.7	1.28	3.64	28	33.4	94.4	111.68	11315.3	11317.4
1659.08	1659.21	13.2	8.26	1.42	3.12	18	26.23	87.69	77.88	11317.4	11319.6
1659.21	1659.34	7.8	7.99	1.2	2.84	10.6	18.25	104.18	86.49	11319.6	11321.8
1659.34	1659.47	12.2	16.5	1.73	5.06	18.6	27.7	101.25	124.53	11321.8	11324.0
1659.47	1659.6	8.18	7.18	1.33	2.37	10.9	21.97	93.4	67.77	11324.0	11326.2
1659.6	1659.73	8.29	6.05	0.9	2.57	8.88	18.91	75.41	61.47	11326.2	11328.4
1659.73	1659.86	11.9	13.7	1.56	4.6	24.4	26.45	103.1	108.49	11328.4	11330.6
1659.86	1660	11.2	11	1.21	4.07	18.1	26.47	94.66	94.93	11330.6	11333.0
1660	1660.12	10.8	9.68	1.05	3.59	15.2	23.06	87.52	102.02	11333.0	11335.2
1660.12	1660.24	8.28	10.2	2.65	3.91	28.9	20.82	93.98	106.36	11335.2	11337.3
1660.24	1660.37	13.3	44.3	2.02	4.41	30.9	30.83	125.91	105.52	11337.3	11339.7
1660.37	1660.5	5.78	19.2	1.5	3.25	16.5	19.5	121.42	59.96	11339.7	11342.0
1660.5	1660.63	16.2	25	1.4	3.49	11.1	35.59	108.45	65.7	11342.0	11344.3
1660.63	1660.76	12	16.4	1.61	4.53	30	25.73	91.66	94.01	11344.3	11346.7
1660.76	1660.88	9.63	11.5	1.92	2.86	26.2	21.78	90.26	70.12	11346.7	11348.8
1660.88	1661	15.1	15.7	2.47	6.34	39.3	32.72	108.01	118.03	11348.8	11351.0
1661.01	1661.14	12	17.6	1.63	4.18	20.9	28.27	96.78	83.5	11351.2	11353.7
1661.14	1661.27	18.6	9.95	2.24	6.09	34.9	34.19	114.97	96.08	11353.7	11356.1
1661.27	1661.4	10.3	9.29	1.58	4.55	27.1	26.62	105.4	79.99	11356.1	11358.6
1661.4	1661.52	7.55	14.5	1.43	4.15	25.2	18	105.3	85.49	11358.6	11360.9
1661.52	1661.65	8.75	10.1	1.95	4.54	44.8	22.29	119.7	64.73	11360.9	11363.4
1661.65	1661.78	25.1	27.2	2.67	5.87	18.3	51.21	125.9	81.76	11363.4	11365.8
1661.78	1661.91	18.7	12.3	1.73	4.34	23.2	34.96	92.12	59.25	11365.8	11368.3
1661.91	1662.03	10.7	50	1.19	2.86	9.8	28.01	106.9	46.85	11368.3	11370.6
1662.03	1662.16	8.25	26.5	2.07	3.1	13.7	22.25	113.4	59.51	11370.6	11373.0
1662.16	1662.29	12.5	12.5	1.62	3.6	13.8	28.93	117.6	58.04	11373.0	11375.5
1662.29	1662.42	13.8	17.3	2.41	4.7	24.9	30.41	107.7	65.13	11375.5	11378.0
1662.42	1662.54	4.16	36.9	1.85	2.49	14.9	13.06	101.8	58.14	11378.0	11380.3
1662.54	1662.67	11.2	10.7	1.79	5.19	23.4	25.43	96.24	97.24	11380.3	11382.7
1662.67	1662.8	7.11	8.46	1.33	3.13	19.2	18.1	106.2	49.9	11382.7	11385.2
1662.8	1662.93	20.9	7.61	1.77	4.37	19.8	40.11	88.03	87.38	11385.2	11387.7
1662.93	1663.05	8.6	9.81	1.23	3.15	17.1	21.28	80.96	65.52	11387.7	11390.0
1663.05	1663.18	6.17	8.4	1.32	3.65	20.7	17.34	114.4	66.07	11390.0	11392.4
1663.18	1663.31	15.6	12.6	1.78	5.62	22	35.46	109	114.3	11392.4	11394.9
1663.31	1663.43	17.2	16.8	2.09	5.06	19.7	40.3	110.3	109.3	11394.9	11397.2
1663.43	1663.56	9.51	13.3	2.11	4.28	31	25.26	103.5	89.55	11397.2	11399.6
1663.56	1663.69	7.87	19.3	1.67	2.97	12	19.86	82.75	60.45	11399.6	11402.1
1663.69	1663.81	9.91	13.6	1.64	4.75	17.5	25	110.8	190.9	11402.1	11404.4
1663.81	1663.94	14.1	5.32	1.39	4.2	17.6	34.72	92.86	151.1	11404.4	11406.9
1663.94	1664.07	7.83	18.4	1.22	2.58	15.4	19.54	97.15	47.78	11406.9	11409.1
1664.07	1664.19	15	19.5	2.06	5.83	33.5	33.43	96.36	96.71	11409.1	11411.0
1664.19	1664.32	8.28	18.7	1.4	3.53	15.1	20.35	96.67	83.09	11411.0	11413.1
1664.32	1664.45	9.41	10.5	1.44	3.12	13.4	24.91	94.09	57.15	11413.1	11415.2
1664.45	1664.57	7.46	23.1	1.52	2.91	13.2	22.39	118.1	61.51	11415.2	11417.1
1664.57	1664.7	6.72	7.36	1.12	2.8	13.9	16.1	94.8	59.035	11417.1	11419.2
1664.7	1664.83	11	6.79	1.19	3.63	10.8	26.72	104	67.12	11419.2	11421.3
1664.83	1664.95	10.8	8.55	1.12	3.68	30.8	22.42	83.45	68.96	11421.3	11423.2
1664.95	1665.08	7.56	25	1.4	3.1	18.3	20.88	113.7	54.69	11423.2	11425.4
1665.08	1665.2	13.8	10.1	1.33	4.2	17.2	26.24	90.31	87.64	11425.4	11427.4
1665.2	1665.33	7.5	6.78	0.92	2.53	9.75	19.36	85.38	60.39	11427.4	11429.6
1665.33	1665.46	11.1	7.31	1.44	2.81	9.04	24.82	88.36	63.1	11429.6	11431.8
1665.46	1665.58	9.12	6.3	1.39	4.89	19.7	20.32	75.2	126.7	11431.8	11433.9
1665.58	1665.71	10.1	9.8	1.19	3.36	11.7	22.19	74.75	61.8	11433.9	11436.1
1665.71	1665.83	5.89	42.3	1.89	3.08	18.2	17.65	114.4	65.14	11436.1	11438.1
1665.83	1665.96	11.1	17.7	2.07	4.33	21.8	30.07	120.5	115.4	11438.1	11440.3
1665.96	1666.08	8.08	10.5	0.87	2.46	4.44	18.95	79.74	49.3	11440.3	11442.4
1666.08	1666.21	10.1	6.61	3.05	3.47	16.1	25.32	102.8	86.39	11442.4	11444.6
1666.21	1666.34	17.3	4.92	1.45	3.81	9.68	36	84.93	78.15	11444.6	11446.8
1666.34	1666.46	8.46	6.56	1.75	3.15	18.6	18.65	83.35	64.27	11446.8	11448.8
1666.46	1666.59	14.2	11.4	1.74	4.57	13.3	31.53	98.72	88.69	11448.8	11451.0
1666.59	1666.71	12.1	15.9	1.58	4.79	26.3	26.09	102.1	93.21	11451.0	11453.1
1666.71	1666.84	7.34	8.19	1.14	2.5	12.4	17.56	82.66	52.19	11453.1	11455.3
1666.84	1666.96	8.02	10.4	1.51	2.73	16.7	19.57	90.31	52.57	11455.3	11457.3
1666.96	1667.09	8.5	8.08	1.03	2.35	10.2	21.08	87.33	45.7	11457.3	11459.4
1667.09	1667.21	4.82	9	1.55	2.45	15.9	13.83	101.6	48.59	11459.4	11461.4
1667.21	1667.34	6.68	15.9	1.5	2.92	17.8	17.37	107.5	59.82	11461.4	11463.4
1667.34	1667.46	7.47	14.2	1.2	3.36	24.5	18.99	96.77	53.08	11463.4	11465.4
1667.46	1667.59	20.3	11.6	1.74	3.94	16.2	36.03	79.9	35.21	11465.4	11467.4
1667.59	1667.71	11.7	42.4	2.35	3.64	14.6	30.36	104.9	45.55	11467.4	11469.4
1667.71	1667.84	9.07	15.9	1.13	2.55	13.2	17.55	65.07	41.47	11469.4	11471.4
1667.84	1667.96	7.76	33.8	1.69	2.78	17.4	19.86	119.3	46.9	11471.4	11473.4
1667.96	1668.09	8.56	29.9	1.63	3.36	21.3	21	93.08	46.94	11473.4	11475.4
1668.09	1668.21	8.68	12.5	1.55	3.45	19.3	22.57	83.71	71.81	11475.4	11477.2
1668.21	1668.33	4.66	22.2	1.19	1.91	10.2	13.67	98.68	24.21	11477.2	11479.0
1668.33	1668.46	6.02	14	1.18	3.32	21.6	14.13	88.97	37.33	11479.0	11480.9
1668.46	1668.58	11.3	14.9	1.56	4.42	21.4	22.78	105.5	45.94	11480.9	11482.7
1668.58	1668.71	5.51	6.75	0.97	2.56	14.5	16.77	85.15	52.27	11482.7	11484.7
1668.71	1668.83	18.8	10.3	1.4	4.17	14.3	35.08	75.58	39.01	11484.7	11486.5
1668.83	1668.96	8.69	24.7	1.58	2.48	14.8	20.57	93.16	38	11486.5	11488.4
1668.96	1669.08	3.7	10.7	0.98	1.6	10.2	12.87	98.81	27.41	11488.4	11490.2
1669.08	1669.2	10.9	17.7	1.46	3.43	22.8	26.06	108.8	41.15	11490.2	11492.0
1669.2	1669.33	18.6	5.26	1.58	4.07	20.3	38.17	88.39	45.22	11492.0	11494.0
1669.33	1669.45	6.5	15.1	1.18	2.54	11.3	24.69	97.99	51.24	11494.0	11495.8
1669.45	1669.58	8.26	7.07	1.13	2.28	14.3	18.73	75.27	33.31	11495.8	11497.7
1669.58	1669.7	4.95	10.4	0.95	2.16	11.7	13.25	76.34	56.36	11497.7	11499.5
1669.7	1669.82	14	6.51	1.54	6.57	13.1	29.2	105.2	261.5	11499.5	11501.3
1669.82	1669.95	9.65	10.6	1.34	3.13	13.1	22.39	100.7	64.2	11501.3	11503.3
1669.95	1670.07	7.9	6.14	1.09	2.92	18	19.08	99.61	39.66	11503.3	11505.1
1670.07	1670.19	6.78	16.9	1.22	2.08	6.63	19.58	107.5	43.07	11505.1	11507.0
1670.19	1670.33	12.7	16.4	2.36	2.56	11	31.2	108	45.91	11507.0	11509.3
1670.33	1670.44	10.2	8.16	1.21	2.76	8.47	23.28	68.9	49.18	11509.3	11511.0
1670.44	1670.56	16.7	8.75	1.59	2.99	14.7	33.4	91.1	55.1	11511.0	11513.0
1670.56	1670.69	7.38	15.1	1.28	1.92	7.35	20.4	111.9	38.48	11513.0	11515.0
1670.69	1670.81	5.31	8.84	1.49	2.01	8.95	14.82	94.29	40.7	11515.0	11517.0
1670.81	1670.93	3.62	28.9	0.96	1.93	7.62	10.94	71.96	34.41	11517.0	11518.9
1670.93	1671.06	11	13.8	1.35	2.71	10.7	26.5	74.88	40.84	11518.9	11521.1
1671.06	1671.18	12	5.23	1.26	2.65	6.16	24.83	75.54	35.15	11521.1	11523.2
1671.18	1671.29	4.84	20.7	1.44	2.62	11.8	14.11	89.16	42.88	11523.2	11525.2
1671.32	1671.43	7.11	9.35	1.32	2.69	8.44	16.8	84.97	59.47	11525.8	11527.7
1671.43	1671.55	4.83	25	1.26	2.27	10.2	14.05	98.1	36.85	11527.7	11529.9
1671.55	1671.67	8.53	12.5	1.7	2.84	10.1	23.61	108.3	49.46	11529.9	11532.1
1671.67	1671.79	6.42	13.1	1.29	2.05	7.97	16.17	91.35	29.72	11532.1	11534.2
1671.79	1671.92	12.3	43.7	2.15	3.49	10.4	26.28	93.45	45.9	11534.2	11536.6
1671.92	1672.04	11.4	33.3	1.89	3.73	6.89	26.42	117.6	40.39	11536.6	11538.7
1672.04	1672.16	7.76	10.6	1.46	3.21	9.32	17.89	80.16	36.49	11538.7	11540.9
1672.16	1672.28	8.96	6.82	1.34	2.83	11.4	18.33	91.53	36.41	11540.9	11543.0
1672.28	1672.41	3.29	8.07	1.21	1.98	6.94	10.03	79.9	33.55	11543.0	11545.4
1672.41	1672.53	6.81	7.76	1.26	2.64	6.6	28.38	84.88	58.3	11545.4	11547.5
1672.53	1672.65	7.32	7.1	1.37	2.96	11.5	17.01	108	43.21	11547.5	11549.7
1672.65	1672.77	8.46	11.4	1.6	2.84	8.04	20.77	91.97	35.63	11549.7	11551.9
1672.77	1672.9	9.15	10.1	1.64	2.24	5.8	21.05	90.12	33.26	11551.9	11554.2
1672.9	1673	7.8	23.9	1.79	3.74	11	21.04	109.4	96.37	11554.2	11556.0
1673	1673.14	8.61	20.8	1.19	2.82	8.72	19.77	88.24	51.13	11556.0	11558.4
1673.14	1673.26	8.37	12.5	1.73	2.84	10.7	20.69	94.35	44.79	11558.4	11560.4
1673.26	1673.38	4.16	8.2	1.07	2.07	6.2	11.53	77.7	35.03	11560.4	11562.5
1673.38	1673.51	7.97	5.22	1.22	2.01	7.49	16.49	66.02	31.96	11562.5	11564.7
1673.51	1673.63	23.9	6.83	2.3	6.33	24.8	41.87	77.13	48.73	11564.7	11566.7
1673.63	1673.75	6.3	33.7	2.26	2.86	7.09	18.15	106.3	82.07	11566.7	11568.8
1673.75	1673.87	11.4	16.5	1.78	3.14	11	22.33	77.12	134.1	11568.8	11570.8
1673.87	1674	6.99	20.5	1.39	2.36	15.6	16.87	94.54	31.98	11570.8	11573.0
1674	1674.11	7.92	9.62	1.1	2.69	16.3	17.99	79.56	32.71	11573.0	11574.9
1674.11	1674.24	8.63	6.11	1.36	4.13	28.5	20.1	92.01	35.97	11574.9	11577.1
1674.24	1674.36	7.39	10.3	1.14	2.6	10.6	14.98	90.36	23.67	11577.1	11579.1
1674.36	1674.48	9.31	5.42	1.29	2.94	22.9	19.93	90.31	34.67	11579.1	11581.2
1674.48	1674.6	8.71	8.67	1.21	2.54	11.5	20.71	100.4	42.16	11581.2	11583.2
1674.6	1674.72	8.11	7.99	1.25	3.56	18.6	20.61	94.78	44.65	11583.2	11585.2
1674.72	1674.84	6.46	18.8	1.56	3.58	19.5	18.66	104	80.77	11585.2	11587.3
1674.84	1674.96	14	10.1	1.56	3.33	20.8	28.16	105.2	42.68	11587.3	11589.3
1674.96	1675.08	7.53	14.3	1.11	2.6	17.6	19.94	85.12	38.21	11589.3	11591.5
1675.08	1675.21	12.9	7.35	1.34	3.55	17.2	25.93	80.99	36.57	11591.5	11594.0
1675.21	1675.33	7.85	6.47	1.45	2.25	14.2	19.08	78.26	35.38	11594.0	11596.3
1675.33	1675.45	8.32	10.1	1.46	2.79	18.7	18.52	88.87	42.21	11596.3	11598.6
1675.45	1675.57	7.7	16.4	1.67	3.46	25	22.37	101.1	47.11	11598.6	11600.8
1675.57	1675.69	7.4	6.33	1.45	2.76	11.3	22.97	102.3	36.37	11600.8	11603.1
1675.69	1675.81	7.92	7.01	1.64	3.02	20.3	26.81	123.6	47	11603.1	11605.4
1675.81	1675.93	8.06	6.99	1.08	1.93	9.28	21.44	83.72	32.11	11605.4	11607.7
1675.93	1676.05	12.5	8.62	1.37	3.9	16.3	28.84	84.33	57.99	11607.7	11610.0
1676.05	1676.17	6.58	13.9	1.04	3	10.5	20.05	90.24	84.91	11610.0	11612.2
1676.17	1676.29	25.4	13.5	2.65	5.13	19.2	53.58	89.92	49.68	11612.2	11614.5
1676.29	1676.41	24.2	14.9	3.74	3.98	13.7	41.86	112.6	68.13	11614.5	11616.8
1676.41	1676.53	9.39	14.4	2.06	2.9	15.1	26.68	112.2	42.46	11616.8	11619.1
1676.53	1676.65	17.1	7.54	1.84	3.97	19.2	36.59	87.69	53.93	11619.1	11621.4
1676.65	1676.77	14.5	10.1	1.87	4.37	19.2	34.28	98.24	43.55	11621.4	11623.6
1676.77	1676.89	10.1	41	1.97	4.11	23.5	28.34	107.7	47.02	11623.6	11625.9
1676.89	1677	20.7	12.8	2.47	8.14	71	38.5	108	71.54	11625.9	11628.0
1677	1677.1	17.8	14.1	1.83	5.08	22.5	41.5	84.95	54.53	11628.0	11630.4
1677.1	1677.2	20	4.99	1.88	5.76	26	44.59	98.74	74.28	11630.4	11632.8
1677.2	1677.3	14.1	6.75	1.56	5.69	23.9	30.56	86.86	67.88	11632.8	11635.2
1677.3	1677.4	20.4	15.6	2.24	4.74	26.5	49.5	113.1	57.46	11635.2	11637.6
1677.4	1677.5	8.9	18.7	1.48	3.48	18.9	23.69	80.51	49.99	11637.6	11640.0
1677.5	1677.6	13.8	24.9	2.59	5.08	43	39.71	120.4	69.7	11640.0	11642.4
1677.6	1677.7	20.7	12.3	2.15	5.99	30.7	42.57	97.36	69.25	11642.4	11644.8
1677.7	1677.8	11.2	6.78	1.57	4.52	24.4	29.28	68.16	48.4	11644.8	11647.2
1677.8	1677.9	34.5	27.6	2.69	8.25	51.6	64.92	124	81.65	11647.2	11649.6
1677.9	1678	36.4	30.9	3.04	8.29	49.4	67.83	126.3	87.31	11649.6	11652.0
1678	1678.1	27.8	14	2.95	8.77	65.6	54.83	122	92.61	11652.0	11655.3
1678.1	1678.2	30.4	28.9	3.23	11	74.4	57.83	110.3	180.7	11655.3	11658.6
1678.2	1678.3	38.2	12.4	4.93	22.5	167	88.35	139.7	402.8	11658.6	11661.9
1678.3	1678.4	30.4	14.4	2.74	8.67	44.9	61.52	95.93	92.08	11661.9	11665.2
1678.4	1678.5	29.3	11.4	3.54	10.7	58.7	63.69	90.61	97.96	11665.2	11668.5
1678.5	1678.6	50.5	13.3	4.18	14	149	81.65	140.7	156.8	11668.5	11671.8
1678.6	1678.7	32.2	7.85	3.5	11.3	73.4	67.63	81.68	111.9	11671.8	11675.1
1678.7	1678.8	45.6	8.73	4.77	15.1	144	87.32	146	157.3	11675.1	11678.4
1678.8	1678.9	44.6	13.1	4.2	13.6	114	82.57	128.8	136.2	11678.4	11681.7
1678.9	1679	24.8	11.6	3.56	10.4	92.4	53.34	134.3	102.1	11681.7	11685.0
1679	1679.1	15.8	11.9	2.71	7.79	62.9	39.93	108.3	83.32	11685.0	11688.2
1679.1	1679.2	35.3	8.95	3.7	10.8	86.5	66.61	114.3	128.9	11688.2	11691.4
1679.2	1679.3	28.8	24.5	3.38	9.52	90.6	54.55	113.3	119.3	11691.4	11694.6
1679.3	1679.4	24.7	29.8	3.99	10.5	91.7	55.39	136.4	111.8	11694.6	11697.8
1679.4	1679.5	35	21.6	3.63	9.74	69.4	69.47	98.01	89.49	11697.8	11701.0
1679.5	1679.6	56.8	28.6	5.68	16.2	128	111.3	138.8	175.6	11701.0	11704.2
1679.6	1679.7	27.1	12.8	3.86	11.5	111	49	102.7	100.3	11704.2	11707.4
1679.7	1679.8	48.2	13.9	5.47	17.5	182	78.66	164.9	169	11707.4	11710.6
1679.8	1679.9	28.4	15.9	3.61	10.4	75	66.02	119.4	95.43	11710.6	11713.8
1679.9	1680	33.7	8.77	4.15	11.6	78.8	68.61	121.7	104.5	11713.8	11717.0
1680	1680.1	23	8.98	2.81	9.63	77.6	43.45	110.8	85.4	11717.0	11720.5
1680.1	1680.2	15.8	18.8	2.93	7.23	61.8	35.83	106.8	76.27	11720.5	11724.0
1680.2	1680.3	7.68	5.6	1.71	6.21	55.1	18.31	74.89	56.78	11724.0	11727.5
1680.3	1680.4	23.7	9.87	3.56	10.1	87.1	46.07	131.1	97	11727.5	11731.0
1680.4	1680.5	36.7	17.7	4.07	9.93	72.2	67.8	105.7	95.31	11731.0	11734.5
1680.5	1680.6	27.5	20.2	3.75	11.3	109	52.07	109.3	101.1	11734.5	11738.0
1680.6	1680.7	40.5	18.3	5.02	15.1	141	73.88	120.1	115.1	11738.0	11741.5
1680.7	1680.8	34	9.08	4.75	13.3	112	64.44	135.5	121.9	11741.5	11745.0
1680.8	1680.9	33	11.4	4	11.4	98	41.08	112.3	105.2	11745.0	11748.5
1680.9	1681	33.7	10.6	4.72	14.7	146	65	111.6	108.2	11748.5	11752.0
1681.01	1681.11	46	20.4	4.2	13.7	123	90.35	137.5	132.1	11752.3	11755.6
1681.11	1681.2	38.5	43.7	5.17	11	82.6	64.92	103.7	93.39	11755.6	11758.6
1681.2	1681.3	42.5	30.2	6	14.3	117	71.04	124.7	185.5	11758.6	11761.9
1681.3	1681.4	15.4	28.2	2.91	8.65	74.7	31.91	96.56	82.56	11761.9	11765.2
1681.4	1681.5	45.8	27.4	5.03	15	127	83.73	121.9	187.5	11765.2	11768.5
1681.5	1681.6	58.3	46.3	5.6	17.2	159	95.33	152.7	194.2	11768.5	11771.8
1681.6	1681.7	15	16.2	2.99	8.8	84	32.65	87.26	85.53	11771.8	11775.1
1681.7	1681.8	21	16.9	3.64	10.6	114	35.3	107.7	98.66	11775.1	11778.4
1681.8	1681.9	49.8	36.6	4.77	13	114	96.43	161.4	132.4	11778.4	11781.7
1681.9	1682.02	28.8	12.4	4.55	16.5	134	58.95	108.1	174.8	11781.7	11785.7
1682.02	1682.12	37.1	12.8	4.46	12.8	97.5	71.57	131.5	126.4	11785.7	11789.1
1682.12	1682.23	18.6	8.89	2.68	9.19	77.3	34.74	89.34	132	11789.1	11792.8
1682.23	1682.33	17	11.7	3.15	8.67	69.3	37.59	97.34	82.09	11792.8	11796.2
1682.33	1682.43	43.3	13.5	3.71	11.4	90.4	77.91	112.6	103.8	11796.2	11799.6
1682.43	1682.53	34.3	29.8	4.6	16.9	206	56.33	115.4	145.1	11799.6	11803.0
1682.53	1682.63	19.3	9.29	3.42	9.23	73.9	37.38	91.12	84.5	11803.0	11806.4
1682.63	1682.7	21.4	15.3	3.07	7.9	62.3	46.22	99.19	81.21	11806.4	11808.8
1682.7	1682.8	20.1	11.5	3.33	9.57	85.5	43.57	130.3	86.84	11808.8	11812.2
1682.8	1682.9	38.3	11.6	3.92	13.5	128	67.8	143.5	161	11812.2	11815.6
1682.9	1683.01	51.8	11.9	4.7	18.1	198	85.84	190.9	233.6	11815.6	11819.3
1683.01	1683.1	28.4	20.2	7.09	11.6	122	56.37	128.7	152.57	11819.3	11822.2
1683.1	1683.2	26.2	9.68	4.38	9.2	94.8	52.76	128.19	113.57	11822.2	11825.4
1683.2	1683.3	29.8	56.1	5.02	8.39	78.8	66.27	144.82	123.39	11825.4	11828.6
1683.3	1683.4	57.4	17.8	6.56	11.7	91	118.8	188.25	212.77	11828.6	11831.8
1683.4	1683.5	47.9	9.05	5.31	13.4	62.2	98.67	91.7	156.91	11831.8	11835.0
1683.5	1683.6	34.3	17.7	4.48	11.7	111	69.26	149.66	180.53	11835.0	11838.2
1683.6	1683.7	34.7	7.53	3.62	11.8	109	64.46	133.89	142.19	11838.2	11841.4
1683.7	1683.8	39.7	13.1	5.82	15.9	140	75.6	130.43	152.11	11841.4	11844.6
1683.8	1683.9	59.8	11.1	5.15	15.6	95.2	121	122.28	152.11	11844.6	11847.8
1683.9	1684	22	12.7	4.85	8.92	69.7	51.7	121.77	113.83	11847.8	11851.0
1684	1684.1	28.2	6.08	3.87	14.1	94.9	51.84	123.81	184.23	11851.0	11854.3
1684.1	1684.2	33.7	17.5	4.84	11.2	73.7	76.74	120.64	120.74	11854.3	11857.6
1684.2	1684.3	34.5	19.4	4.69	10.4	79.8	76.12	121.36	119.5	11857.6	11860.9
1684.3	1684.4	32.4	13.8	5.82	14.2	123	66.69	133.18	125.41	11860.9	11864.2
1684.4	1684.5	46.8	12.7	5.15	13.6	117	84.57	132.47	170.04	11864.2	11867.5
1684.5	1684.6	34.8	29.3	4.26	9.5	79	61.29	119.92	121.68	11867.5	11870.8
1684.6	1684.7	35.2	29	4.7	14.8	125	78.81	148.75	133.34	11870.8	11874.1
1684.7	1684.8	30.6	9.53	5.12	15.7	123	64.53	109.75	117.31	11874.1	11877.4
1684.8	1684.9	30.9	8.8	3.5	8.85	67.3	59.09	94.31	106.7	11877.4	11880.7
1684.9	1685.01	43.8	32	5.48	11.6	71.5	96.21	111.4	104.67	11880.7	11884.4
1685.01	1685.1	23.5	8.83	3.66	9.31	60	49.38	90.13	87.91	11884.4	11887.7
1685.1	1685.2	14.8	7.36	3.07	7.43	54.2	34.14	94.83	85.87	11887.7	11891.4
1685.2	1685.3	36.9	13.8	4.91	13.4	114	76.47	145.63	155.51	11891.4	11895.1
1685.3	1685.4	20	11.3	4.23	9.82	86.3	44.23	120.02	102.33	11895.1	11898.8
1685.4	1685.5	39.9	13	6.83	11.2	71.2	76.15	119.1	99.82	11898.8	11902.5
1685.5	1685.6	23.1	18.4	4.72	7.33	44	50.76	128.5	86.65	11902.5	11906.2
1685.6	1685.7	52.4	15.5	5.22	17.4	138	89.69	149.56	179.61	11906.2	11909.9
1685.7	1685.8	39	12.1	5.2	16.9	134	74.49	132.98	169.73	11909.9	11913.6
1685.8	1685.9	25.3	14.5	4.4	12.7	109	48.5	122.07	120.43	11913.6	11917.3
1685.9	1686	27.7	31.3	4.76	8.98	69.9	57.72	112.7	96.38	11917.3	11921.0
1686	1686.1	35.7	14.7	4.01	11.1	82.3	66.66	114.9	101.39	11921.0	11924.4
1686.1	1686.2	30	9.86	3.79	10.1	68.5	68.64	95.45	81.31	11924.4	11927.8
1686.2	1686.3	36.6	8.77	4.94	17.1	170	66.8	116.03	139.55	11927.8	11931.2
1686.3	1686.4	21.8	12.2	3.65	8.3	80.4	43.24	84.99	109.2	11931.2	11934.6
1686.4	1686.5	29	12.1	3.35	7.73	54	57.84	75.38	98.1	11934.6	11938.0
1686.5	1686.6	58.3	15.8	5.55	17.6	139	115.5	157.7	224.19	11938.0	11941.4
1686.6	1686.7	30.2	10.3	4.39	14.2	76.2	47.8	84.57	218.21	11941.4	11944.8
1686.7	1686.8	31.1	12.8	4.35	11.3	98.6	62.34	145.02	144.67	11944.8	11948.2
1686.8	1686.9	50.6	12.5	7.68	11.9	97.1	91.93	137.7	193.64	11948.2	11951.6
1686.9	1687	27.7	21.3	7.41	9.48	79.6	53.1	95.01	238.19	11951.6	11955.0
1687	1687.1	34.6	28.6	5.79	13.4	106	72.78	128.53	211.49	11955.0	11958.6
1687.1	1687.2	44	16.9	4.83	11.1	88.7	82.74	122.16	175.13	11958.6	11962.2
1687.2	1687.3	34.8	17.8	4.86	13.3	140	69.15	149.63	187.32	11962.2	11965.8
1687.3	1687.4	26.6	22	3.33	8.28	73.5	53.51	108.23	125.48	11965.8	11969.4
1687.4	1687.5	48.5	9.78	4.27	13.5	107	84.03	105.37	155.63	11969.4	11973.0
1687.5	1687.6	29.8	17.9	4.63	11.9	71.1	70.18	124.38	164.92	11973.0	11976.6
1687.6	1687.7	22.4	11	4.7	11.8	89.2	58.94	99.02	181.77	11976.6	11980.2
