GISP2 Ions: Deep (D) Core

REFERENCE: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This is the ion data set produced by the Glacier Research Group for the
GISP2 D core, from 2 - 3040 m depth. Meters 2 to 96 is B core data.  The
remainder of the data is from the D core.  Concentration values for each
sample are listed along with the top and bottom depth for each sample. 
Depths are in meters, concentrations in micrograms/kilogram (ppb).  Refer
to the file detiond.dat for more details on the upper 96 meter processing. 
D core samples were mechanically cleaned between 96-710m and 1370-1510m. 
All other samples were melted using a teflon coated aluminium apparatus
which melted the center portion from a 3.5 x 3.5 cm section of ice. 

DATA:

DEPTH	(m)	IONS								AGE (yr BP)	
Top	Bottom	Na_ppb	NH4_ppb	K_ppb	Mg_ppb	Ca_ppb	Cl_ppb	NO3_ppb	SO4_ppb	Top	Bottom

50.96	51.53	6.667	3.421	1.173	1.75	10.621	16.308	83.707	60.516	94.1	95.5
51.53	52.09	2.529	3.961	0.977	0.79	5.812	6.027	67.585	24.495	95.5	97.1
52.09	52.62	6.437	3.601	1.173	1.312	10.621	13.472	70.686	32.66	97.1	98.9
52.62	53.23	4.598	4.322	0.782	1.179	10.02	9.927	68.205	26.896	98.9	100.9
53.23	53.79	6.207	5.222	0.938	1.422	8.016	14.181	59.525	24.975	100.9	102.7
53.79	54.35	3.448	7.203	1.368	1.191	9.619	7.8	76.886	32.179	102.7	104.7
54.35	54.91	9.426	5.042	1.368	1.495	11.623	16.663	61.385	50.43	104.7	107.0
54.91	55.47	5.747	5.582	1.173	1.519	9.018	11.345	66.345	28.337	107.0	109.1
55.47	56.08	6.437	6.302	1.564	1.556	13.226	10.636	66.345	31.699	109.1	111.2
56.08	56.58	5.288	3.781	1.447	1.106	7.214	11.345	63.865	27.376	111.2	112.9
56.58	57.14	6.897	18.007	1.329	2.066	13.427	14.89	68.825	57.154	112.9	114.9
57.14	57.64	3.908	6.122	1.525	1.556	7.014	9.927	63.865	27.376	114.9	116.8
57.64	58.24	9.426	3.781	1.408	2.321	11.022	17.372	60.765	101.821	116.8	118.5
58.24	58.79	3.908	2.701	0.782	1.373	6.613	7.445	53.944	85.491	118.5	120.0
58.79	59.33	3.219	5.222	1.447	1.203	8.417	7.8	57.045	26.896	120.0	121.3
59.33	59.88	4.138	1.981	1.368	1.142	8.016	7.445	57.045	26.416	121.3	122.8
59.88	60.42	5.288	4.502	1.251	1.264	9.218	9.572	75.026	26.416	122.8	124.7
60.42	61.11	7.127	5.042	1.564	1.726	8.617	14.181	67.585	36.502	124.7	127.3
61.11	61.6	5.977	7.023	1.955	1.762	9.218	17.727	71.926	37.462	127.3	129.1
61.6	62.09	6.207	8.823	2.62	1.118	7.615	12.054	70.066	24.495	129.1	130.7
62.09	62.6	5.058	3.421	1.329	1.252	8.216	9.927	70.686	35.541	130.7	132.7
62.6	63.14	5.518	3.781	1.329	1.154	5.812	10.281	65.105	127.276	132.7	135.1
63.14	63.67	4.138	3.961	1.212	0.984	5.611	9.572	68.825	42.746	135.1	137.3
63.67	64.21	6.897	2.881	1.368	1.373	10.22	11.345	72.546	34.581	137.3	139.2
64.21	64.75	6.207	3.601	1.408	2.37	14.83	11.699	66.965	99.9	139.2	140.9
64.75	65.28	4.368	6.843	1.447	1.215	8.417	10.636	65.105	26.416	140.9	142.4
